City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
2,2,Rikitea,PF,-23.1203,-134.9692,77.63,71,31,3.49,light rain,Pension Maro'i
3,3,Vaini,TO,-21.2,-175.2,77.0,94,75,4.61,broken clouds,Keleti Beach Resort
10,10,Butaritari,KI,3.0707,172.7902,80.65,79,52,20.92,broken clouds,Isles Sunset Lodge
11,11,Sarangani,PH,5.4033,125.4636,78.93,89,100,10.56,overcast clouds,Ballistic Islet
12,12,Presidente Dutra,BR,-5.29,-44.49,85.46,73,69,3.18,moderate rain,Pousada Planalto
15,15,Aitape,PG,-3.1374,142.3475,79.18,84,93,4.7,light rain,
17,17,Saint-Pierre,RE,-21.3393,55.4781,82.4,83,0,8.05,clear sky,Lindsey Hôtel
23,23,Erechim,BR,-27.6342,-52.2739,82.9,61,66,10.67,broken clouds,Hotel Buongiorno
25,25,Cape Town,ZA,-33.9258,18.4232,75.99,50,40,13.8,scattered clouds,"Radisson Blu Hotel Waterfront, Cape Town"
28,28,Carnarvon,AU,-24.8667,113.6333,77.0,100,13,5.75,few clouds,Hospitality Carnarvon
31,31,Georgetown,MY,5.4112,100.3354,80.6,88,20,5.7,few clouds,Cititel Penang
33,33,Karratha,AU,-20.7377,116.8463,89.67,56,69,4.47,light rain,ibis Styles Karratha
41,41,Faanui,PF,-16.4833,-151.75,81.23,73,10,11.01,clear sky,Bora-Bora Pearl Beach Resort & Spa
59,59,Ratnagiri,IN,16.9833,73.3,77.61,66,0,6.44,clear sky,Hotel Landmark
61,61,Padang,ID,-0.9492,100.3543,78.8,83,90,3.44,moderate rain,Mercure Padang
66,66,Kavieng,PG,-2.5744,150.7967,82.99,80,93,16.64,overcast clouds,Nusa Island Retreat
69,69,Bengkulu,ID,-3.8004,102.2655,77.94,80,100,3.49,overcast clouds,Grage Hotel Bengkulu
70,70,Beloha,MG,-25.1667,45.05,81.34,67,4,8.46,clear sky,
