City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,90,11.5,light snow
1,Hilo,US,19.7297,-155.09,68.0,73,90,6.91,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,77.63,71,31,3.49,light rain
3,Vaini,TO,-21.2,-175.2,77.0,94,75,4.61,broken clouds
4,Hobart,AU,-42.8794,147.3294,50.0,53,39,14.97,scattered clouds
5,Labytnangi,RU,66.6572,66.4183,-6.9,90,89,4.38,overcast clouds
6,Thompson,CA,55.7435,-97.8558,14.0,85,90,5.75,light snow
7,Tuatapere,NZ,-46.1333,167.6833,62.01,78,100,3.0,moderate rain
8,Albany,US,42.6001,-73.9662,36.0,89,100,3.47,light snow
9,Khatanga,RU,71.9667,102.5,-26.01,86,95,4.5,overcast clouds
10,Butaritari,KI,3.0707,172.7902,80.65,79,52,20.92,broken clouds
11,Sarangani,PH,5.4033,125.4636,78.93,89,100,10.56,overcast clouds
12,Presidente Dutra,BR,-5.29,-44.49,85.46,73,69,3.18,moderate rain
13,Hermanus,ZA,-34.4187,19.2345,73.0,67,7,5.99,clear sky
14,Esperance,AU,-33.8667,121.9,57.2,67,0,10.36,clear sky
15,Aitape,PG,-3.1374,142.3475,79.18,84,93,4.7,light rain
16,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,59,0,6.91,clear sky
17,Saint-Pierre,RE,-21.3393,55.4781,82.4,83,0,8.05,clear sky
18,Mataura,NZ,-46.1927,168.8643,62.01,78,100,3.0,overcast clouds
19,Limbang,MY,4.75,115.0,73.4,100,75,1.14,broken clouds
20,Birzai,LT,56.2,24.75,3.7,92,53,5.08,broken clouds
21,Kauhajoki,FI,62.4333,22.1833,25.0,93,75,2.3,fog
22,Coos Bay,US,43.3665,-124.2179,48.2,93,90,4.61,overcast clouds
23,Erechim,BR,-27.6342,-52.2739,82.9,61,66,10.67,broken clouds
24,Cabo San Lucas,MX,22.8909,-109.9124,66.2,30,20,4.61,few clouds
25,Cape Town,ZA,-33.9258,18.4232,75.99,50,40,13.8,scattered clouds
26,Bluff,NZ,-46.6,168.3333,62.01,78,99,3.0,moderate rain
27,Jamestown,US,42.097,-79.2353,33.01,93,90,5.88,overcast clouds
28,Carnarvon,AU,-24.8667,113.6333,77.0,100,13,5.75,few clouds
29,New Norfolk,AU,-42.7826,147.0587,48.99,66,38,1.99,scattered clouds
30,Ushuaia,AR,-54.8,-68.3,60.8,63,40,8.05,scattered clouds
31,Georgetown,MY,5.4112,100.3354,80.6,88,20,5.7,few clouds
32,Necochea,AR,-38.5473,-58.7368,66.99,76,52,20.29,broken clouds
33,Karratha,AU,-20.7377,116.8463,89.67,56,69,4.47,light rain
34,Nachalovo,RU,46.338,48.2013,26.6,93,0,6.71,clear sky
35,Xiamen,CN,24.4798,118.0819,55.4,41,0,20.13,clear sky
36,Port Alfred,ZA,-33.5906,26.891,72.0,76,0,11.01,clear sky
37,Abha,SA,18.2164,42.5053,62.6,88,0,6.91,clear sky
38,Pisco,PE,-13.7,-76.2167,73.4,73,0,9.22,clear sky
39,Saskylakh,RU,71.9167,114.0833,-11.79,89,100,8.28,overcast clouds
40,Kukuna,SL,9.4,-12.6667,96.42,10,100,5.53,overcast clouds
41,Faanui,PF,-16.4833,-151.75,81.23,73,10,11.01,clear sky
42,Ponta Do Sol,PT,32.6667,-17.1,61.0,64,98,1.99,overcast clouds
43,East London,ZA,-33.0153,27.9116,69.8,68,0,27.63,clear sky
44,Taltal,CL,-25.4,-70.4833,68.43,61,7,5.77,clear sky
45,Mount Holly,US,35.2982,-81.0159,41.0,65,75,6.91,broken clouds
46,Coaldale,CA,49.7167,-112.6185,32.0,55,20,18.41,few clouds
47,Alofi,NU,-19.0595,-169.9187,73.4,100,83,1.14,broken clouds
48,Qaanaaq,GL,77.484,-69.3632,6.03,92,99,0.87,overcast clouds
49,Ancud,CL,-41.8697,-73.8203,62.6,63,40,3.44,scattered clouds
50,Dicabisagan,PH,17.0818,122.4157,71.96,77,49,7.52,scattered clouds
51,Brandon,US,27.9378,-82.2859,61.0,54,75,10.67,broken clouds
52,Kargil,IN,34.5667,76.1,0.88,68,0,1.68,clear sky
53,Lompoc,US,34.6391,-120.4579,69.8,76,21,8.79,few clouds
54,Sitka,US,57.0531,-135.33,44.6,65,90,17.27,light rain
55,Kapaa,US,22.0752,-159.319,69.8,100,75,5.75,broken clouds
56,Dunedin,NZ,-45.8742,170.5036,62.01,90,98,3.0,light rain
57,Airai,TL,-8.9266,125.4092,63.23,100,100,1.39,light rain
58,Eldoret,KE,0.5204,35.2699,61.43,73,99,2.33,overcast clouds
59,Ratnagiri,IN,16.9833,73.3,77.61,66,0,6.44,clear sky
60,Ribeira Grande,PT,38.5167,-28.7,62.6,82,40,9.22,scattered clouds
61,Padang,ID,-0.9492,100.3543,78.8,83,90,3.44,moderate rain
62,Tocopilla,CL,-22.092,-70.1979,71.65,50,23,3.89,few clouds
63,Busselton,AU,-33.65,115.3333,63.0,67,0,7.0,clear sky
64,Seoul,KR,37.5683,126.9778,19.4,48,0,10.36,clear sky
65,Middle Island,US,40.8843,-72.9373,46.0,93,90,11.5,overcast clouds
66,Kavieng,PG,-2.5744,150.7967,82.99,80,93,16.64,overcast clouds
67,Beringovskiy,RU,63.05,179.3167,-11.13,88,94,11.3,overcast clouds
68,Punta Arenas,CL,-53.15,-70.9167,60.8,59,90,20.71,overcast clouds
69,Bengkulu,ID,-3.8004,102.2655,77.94,80,100,3.49,overcast clouds
70,Beloha,MG,-25.1667,45.05,81.34,67,4,8.46,clear sky
71,Abu Samrah,SY,35.3029,37.1841,52.93,76,50,10.07,scattered clouds
72,Narsaq,GL,60.9167,-46.05,23.0,74,75,5.75,broken clouds
73,Hasaki,JP,35.7333,140.8333,42.8,56,75,11.5,broken clouds
74,Keningau,MY,5.3378,116.1602,71.6,94,40,13.8,scattered clouds
75,Yulara,AU,-25.2406,130.9889,68.0,64,90,8.05,overcast clouds
76,Richards Bay,ZA,-28.783,32.0377,77.0,77,40,11.39,light rain
77,Missoula,US,47.0166,-113.8009,26.6,93,90,4.05,fog
78,Luorong,CN,24.4058,109.6086,56.57,39,90,19.15,overcast clouds
79,Barrow,US,71.2906,-156.7887,-2.2,78,90,18.41,haze
80,Severo-Kurilsk,RU,50.6789,156.125,25.83,96,100,13.2,light snow
81,Atuona,PF,-9.8,-139.0333,77.52,77,1,13.47,clear sky
82,Anloga,GH,5.7947,0.8973,87.8,66,20,13.8,few clouds
83,Port Elizabeth,ZA,-33.918,25.5701,73.4,64,0,37.98,clear sky
84,Iqaluit,CA,63.7506,-68.5145,6.8,85,90,23.02,snow
85,Chikola,RU,43.1906,43.9209,35.6,80,90,2.24,overcast clouds
86,Dwarka,IN,22.2394,68.9678,70.43,50,0,11.16,clear sky
87,Tiksi,RU,71.6872,128.8694,-9.63,91,100,14.0,overcast clouds
88,Constitucion,CL,-35.3333,-72.4167,68.72,40,0,17.47,clear sky
89,Hay River,CA,60.8156,-115.7999,12.2,85,100,4.61,overcast clouds
90,Corato,IT,41.1455,16.4139,46.0,42,20,11.5,few clouds
91,Progreso,MX,21.2833,-89.6667,72.0,56,75,9.22,broken clouds
92,Olafsvik,IS,64.8945,-23.7142,36.52,94,100,23.67,light rain
93,Leningradskiy,RU,69.3833,178.4167,-18.65,86,100,1.19,overcast clouds
94,Lebu,CL,-37.6167,-73.65,60.8,60,0,19.8,clear sky
95,Batagay-Alyta,RU,67.8006,130.4114,-27.92,84,100,1.23,overcast clouds
96,Skjervoy,NO,70.0311,20.9714,37.42,93,100,20.74,overcast clouds
97,Yumen,CN,40.2833,97.2,16.11,75,0,23.4,clear sky
98,Mar Del Plata,AR,-38.0023,-57.5575,69.8,94,75,8.05,broken clouds
99,Iracoubo,GF,5.4802,-53.2011,81.25,72,93,13.2,overcast clouds
100,Avera,US,33.194,-82.5271,44.6,42,40,20.71,scattered clouds
101,Provideniya,RU,64.3833,-173.3,-1.89,85,100,9.8,overcast clouds
102,Tasiilaq,GL,65.6145,-37.6368,32.0,86,75,11.5,light snow
103,Bulandshahr,IN,28.4,77.85,52.9,49,0,3.65,clear sky
104,Pulandian,CN,39.3953,121.9669,14.0,67,0,2.35,clear sky
105,Zhigansk,RU,66.7697,123.3711,-33.79,82,100,5.95,overcast clouds
106,Clyde River,CA,70.4692,-68.5914,3.2,85,90,6.91,overcast clouds
107,Victoria,HK,22.2855,114.1577,62.01,76,99,23.33,overcast clouds
108,Hambantota,LK,6.1241,81.1185,75.2,100,40,2.3,scattered clouds
109,Gualaquiza,EC,-3.4,-78.55,76.78,65,94,1.68,light rain
110,Augusto Correa,BR,-1.0217,-46.635,88.54,56,81,7.58,broken clouds
111,Talcahuano,CL,-36.7167,-73.1167,69.8,46,0,18.41,clear sky
112,Kodiak,US,57.79,-152.4072,39.2,93,90,33.38,moderate rain
113,Vila Franca Do Campo,PT,37.7167,-25.4333,64.99,94,75,8.05,light rain
114,Benguela,AO,-12.5763,13.4055,80.58,60,25,11.32,scattered clouds
115,Yellowknife,CA,62.456,-114.3525,-0.4,78,90,8.05,light snow
116,Lamu,KE,-2.2717,40.902,80.6,78,1,12.66,clear sky
117,Ahvaz,IR,31.3203,48.6693,59.0,51,0,2.3,clear sky
