City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,77.45,71,25,0.98,PF,2021-01-16 14:48:03
1,Kapaa,22.0752,-159.319,69.8,100,75,5.75,US,2021-01-16 14:48:03
2,Usinsk,65.9939,57.5281,-15.43,86,0,7.05,RU,2021-01-16 14:48:03
3,Cockburn Town,21.4612,-71.1419,80.6,74,40,6.91,TC,2021-01-16 14:48:03
4,Acarau,-2.8856,-40.12,87.98,54,34,16.15,BR,2021-01-16 14:48:03
5,Atuona,-9.8,-139.0333,77.45,77,1,13.27,PF,2021-01-16 14:48:03
6,Porto Novo,6.4965,2.6036,86.0,74,40,12.66,BJ,2021-01-16 14:48:03
7,Iqaluit,63.7506,-68.5145,17.6,86,90,17.27,CA,2021-01-16 14:48:04
8,Kaitangata,-46.2817,169.8464,57.07,94,97,7.87,NZ,2021-01-16 14:48:04
9,Provideniya,64.3833,-173.3,-1.46,85,100,10.27,RU,2021-01-16 14:48:04
10,Bureya,49.8133,129.8131,-16.53,89,98,5.03,RU,2021-01-16 14:48:04
11,New Norfolk,-42.7826,147.0587,50.0,67,25,1.01,AU,2021-01-16 14:48:04
12,Georgetown,5.4112,100.3354,80.6,88,20,5.75,MY,2021-01-16 14:44:20
13,Portland,45.5234,-122.6762,44.6,87,90,6.91,US,2021-01-16 14:43:56
14,Masindi,1.6744,31.715,75.11,55,79,5.1,UG,2021-01-16 14:48:04
15,Tete,-16.1564,33.5867,93.2,55,40,3.44,MZ,2021-01-16 14:48:05
16,Orhei,47.3831,28.8231,21.2,58,0,10.36,MD,2021-01-16 14:48:05
17,Krasnoselkup,65.7,82.4667,-9.06,89,99,19.01,RU,2021-01-16 14:48:05
18,Saint-Philippe,-21.3585,55.7679,84.2,79,20,14.97,RE,2021-01-16 14:48:05
19,Half Moon Bay,37.4636,-122.4286,53.01,100,90,8.05,US,2021-01-16 14:48:05
20,Longyearbyen,78.2186,15.6401,17.6,79,75,4.61,SJ,2021-01-16 14:48:05
21,Busselton,-33.65,115.3333,66.99,57,0,7.0,AU,2021-01-16 14:48:05
22,Shatalovo,54.334,32.4465,-0.54,93,100,7.43,RU,2021-01-16 14:48:05
23,Cambui,-22.6122,-46.0575,76.24,69,64,6.46,BR,2021-01-16 14:48:05
24,Alta Floresta,-9.8756,-56.0861,84.2,74,75,4.61,BR,2021-01-16 14:48:06
25,Bengkulu,-3.8004,102.2655,78.76,77,100,1.61,ID,2021-01-16 14:48:06
26,Sarakhs,36.5449,61.1577,60.8,36,0,5.84,IR,2021-01-16 14:48:06
27,Clyde River,70.4692,-68.5914,3.2,92,90,5.75,CA,2021-01-16 14:48:06
28,Ushuaia,-54.8,-68.3,57.2,67,75,3.44,AR,2021-01-16 14:48:06
29,The Valley,18.217,-63.0578,82.4,65,20,13.8,AI,2021-01-16 14:48:06
30,Catamarca,-28.4696,-65.7852,75.0,82,11,5.01,AR,2021-01-16 14:43:38
31,Jamestown,42.097,-79.2353,28.99,100,90,3.76,US,2021-01-16 14:48:07
32,Chuy,-33.6971,-53.4616,77.31,85,89,11.45,UY,2021-01-16 14:48:07
33,Muli,2.9167,73.5667,82.02,72,73,8.46,MV,2021-01-16 14:48:07
34,Hilo,19.7297,-155.09,68.0,64,40,8.05,US,2021-01-16 14:48:07
35,Grindavik,63.8424,-22.4338,37.4,93,90,28.77,IS,2021-01-16 14:48:07
36,Dakar,14.6937,-17.4441,73.4,43,99,13.8,SN,2021-01-16 14:43:36
37,Cabo San Lucas,22.8909,-109.9124,57.99,26,40,10.36,MX,2021-01-16 14:45:46
38,Sioux Lookout,50.1001,-91.917,12.2,85,90,3.44,CA,2021-01-16 14:48:07
39,Coihaique,-45.5752,-72.0662,62.6,63,40,4.61,CL,2021-01-16 14:48:03
40,Bambous Virieux,-20.3428,57.7575,82.4,83,40,11.5,MU,2021-01-16 14:48:08
41,Qaanaaq,77.484,-69.3632,6.58,92,99,1.05,GL,2021-01-16 14:48:08
42,Kodiak,57.79,-152.4072,39.2,93,90,34.52,US,2021-01-16 14:48:08
43,Bredasdorp,-34.5322,20.0403,82.4,34,0,19.57,ZA,2021-01-16 14:48:08
44,Ribeira Grande,38.5167,-28.7,60.8,82,40,8.05,PT,2021-01-16 14:48:08
45,Bembereke,10.2283,2.6634,95.16,9,37,4.65,BJ,2021-01-16 14:48:08
46,Mahebourg,-20.4081,57.7,82.4,83,40,11.5,MU,2021-01-16 14:48:08
47,Ejea De Los Caballeros,42.1263,-1.1372,57.99,41,3,18.41,ES,2021-01-16 14:48:09
48,Paralimni,35.0375,33.9833,60.8,82,75,20.71,CY,2021-01-16 14:48:09
49,Bluff,-46.6,168.3333,63.0,88,99,4.0,NZ,2021-01-16 14:48:09
50,Katangi,23.45,79.7833,66.2,34,0,4.61,IN,2021-01-16 14:48:09
51,Maputo,-25.9653,32.5892,100.4,47,75,14.97,MZ,2021-01-16 14:48:09
52,Libenge,3.65,18.6333,97.75,22,85,0.96,CD,2021-01-16 14:48:09
53,Touros,-5.1989,-35.4608,86.0,54,75,17.27,BR,2021-01-16 14:48:09
54,Russell,32.3502,-85.1999,39.0,52,1,6.91,US,2021-01-16 14:45:08
55,Tilichiki,60.4667,166.1,-25.4,85,0,7.47,RU,2021-01-16 14:48:10
56,Tasiilaq,65.6145,-37.6368,32.0,86,75,16.11,GL,2021-01-16 14:48:10
57,Nikolskoye,59.7035,30.7861,7.0,85,75,6.71,RU,2021-01-16 14:48:10
58,Timizart,36.8,4.2667,48.56,75,81,6.96,DZ,2021-01-16 14:48:10
59,Aswan,24.0934,32.907,68.47,25,0,4.76,EG,2021-01-16 14:48:10
60,Saskylakh,71.9167,114.0833,-9.83,89,100,8.48,RU,2021-01-16 14:48:10
61,Petrovac,44.3769,21.4192,27.0,78,94,3.0,RS,2021-01-16 14:48:10
62,East London,-33.0153,27.9116,73.4,64,20,28.77,ZA,2021-01-16 14:48:11
63,Yellowknife,62.456,-114.3525,1.4,78,90,9.22,CA,2021-01-16 14:48:11
64,Canutama,-6.5339,-64.3831,84.65,72,76,3.58,BR,2021-01-16 14:48:11
65,Opuwo,-18.0607,13.84,88.54,16,4,11.36,NA,2021-01-16 14:48:11
66,Hermanus,-34.4187,19.2345,72.0,67,8,1.99,ZA,2021-01-16 14:43:22
67,Cape Town,-33.9258,18.4232,78.01,53,40,13.8,ZA,2021-01-16 14:46:39
68,Carnarvon,-24.8667,113.6333,80.6,89,17,8.05,AU,2021-01-16 14:48:11
69,Lata,40.1629,-8.3327,61.0,66,0,1.01,PT,2021-01-16 14:48:12
70,Honiara,-9.4333,159.95,77.38,81,100,2.39,SB,2021-01-16 14:48:12
